_id,measure_id,measure_name,interval_type,value_type,measure_value,year_to_date_variance,budget_variance,decimal_accuracy,desired_direction,category,data_source_notes,city_perspective_note,year,period_number_in_year,target,note
1,1.13,Number of Personal Bankruptcies (Ontario),m,n,2307,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2007,1,NA,NA
2,1.13,Number of Personal Bankruptcies (Ontario),m,n,2369,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2007,2,NA,NA
3,1.13,Number of Personal Bankruptcies (Ontario),m,n,2715,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2007,3,NA,NA
4,1.13,Number of Personal Bankruptcies (Ontario),m,n,2651,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2007,4,NA,NA
5,1.13,Number of Personal Bankruptcies (Ontario),m,n,2931,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2007,5,NA,NA
6,1.13,Number of Personal Bankruptcies (Ontario),m,n,2645,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2007,6,NA,NA
7,1.13,Number of Personal Bankruptcies (Ontario),m,n,2502,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2007,7,NA,NA
8,1.13,Number of Personal Bankruptcies (Ontario),m,n,2701,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2007,8,NA,NA
9,1.13,Number of Personal Bankruptcies (Ontario),m,n,2622,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2007,9,NA,NA
10,1.13,Number of Personal Bankruptcies (Ontario),m,n,2888,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2007,10,NA,NA
11,1.13,Number of Personal Bankruptcies (Ontario),m,n,2877,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2007,11,NA,NA
12,1.13,Number of Personal Bankruptcies (Ontario),m,n,2231,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2007,12,NA,NA
13,1.13,Number of Personal Bankruptcies (Ontario),m,n,2372,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2008,1,NA,NA
14,1.13,Number of Personal Bankruptcies (Ontario),m,n,2677,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2008,2,NA,NA
15,1.13,Number of Personal Bankruptcies (Ontario),m,n,2641,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2008,3,NA,NA
16,1.13,Number of Personal Bankruptcies (Ontario),m,n,3292,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2008,4,NA,NA
17,1.13,Number of Personal Bankruptcies (Ontario),m,n,2929,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2008,5,NA,NA
18,1.13,Number of Personal Bankruptcies (Ontario),m,n,2885,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2008,6,NA,NA
19,1.13,Number of Personal Bankruptcies (Ontario),m,n,3061,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2008,7,NA,NA
20,1.13,Number of Personal Bankruptcies (Ontario),m,n,2749,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2008,8,NA,NA
21,1.13,Number of Personal Bankruptcies (Ontario),m,n,3365,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2008,9,NA,NA
22,1.13,Number of Personal Bankruptcies (Ontario),m,n,3566,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2008,10,NA,NA
23,1.13,Number of Personal Bankruptcies (Ontario),m,n,3283,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2008,11,NA,NA
24,1.13,Number of Personal Bankruptcies (Ontario),m,n,3380,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2008,12,NA,NA
25,1.13,Number of Personal Bankruptcies (Ontario),m,n,2952,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2009,1,NA,NA
26,1.13,Number of Personal Bankruptcies (Ontario),m,n,3404,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2009,2,NA,NA
27,1.13,Number of Personal Bankruptcies (Ontario),m,n,4233,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2009,3,NA,NA
28,1.13,Number of Personal Bankruptcies (Ontario),m,n,4450,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2009,4,NA,NA
29,1.13,Number of Personal Bankruptcies (Ontario),m,n,4067,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2009,5,NA,NA
30,1.13,Number of Personal Bankruptcies (Ontario),m,n,4345,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2009,6,NA,NA
31,1.13,Number of Personal Bankruptcies (Ontario),m,n,4125,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2009,7,NA,NA
32,1.13,Number of Personal Bankruptcies (Ontario),m,n,3872,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2009,8,NA,NA
33,1.13,Number of Personal Bankruptcies (Ontario),m,n,5007,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2009,9,NA,NA
34,1.13,Number of Personal Bankruptcies (Ontario),m,n,3437,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2009,10,NA,NA
35,1.13,Number of Personal Bankruptcies (Ontario),m,n,3393,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2009,11,NA,NA
36,1.13,Number of Personal Bankruptcies (Ontario),m,n,3236,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2009,12,NA,NA
37,1.13,Number of Personal Bankruptcies (Ontario),m,n,2443,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2010,1,NA,NA
38,1.13,Number of Personal Bankruptcies (Ontario),m,n,2695,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2010,2,NA,NA
39,1.13,Number of Personal Bankruptcies (Ontario),m,n,3188,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2010,3,NA,NA
40,1.13,Number of Personal Bankruptcies (Ontario),m,n,3175,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2010,4,NA,NA
41,1.13,Number of Personal Bankruptcies (Ontario),m,n,2850,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2010,5,NA,NA
42,1.13,Number of Personal Bankruptcies (Ontario),m,n,2963,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2010,6,NA,NA
43,1.13,Number of Personal Bankruptcies (Ontario),m,n,2579,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2010,7,NA,NA
44,1.13,Number of Personal Bankruptcies (Ontario),m,n,2496,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2010,8,NA,NA
45,1.13,Number of Personal Bankruptcies (Ontario),m,n,2783,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2010,9,NA,NA
46,1.13,Number of Personal Bankruptcies (Ontario),m,n,2685,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2010,10,NA,NA
47,1.13,Number of Personal Bankruptcies (Ontario),m,n,2681,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2010,11,NA,NA
48,1.13,Number of Personal Bankruptcies (Ontario),m,n,2462,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2010,12,NA,NA
49,1.13,Number of Personal Bankruptcies (Ontario),m,n,1757,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2011,1,NA,NA
50,1.13,Number of Personal Bankruptcies (Ontario),m,n,1932,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2011,2,NA,NA
51,1.13,Number of Personal Bankruptcies (Ontario),m,n,2539,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2011,3,NA,NA
52,1.13,Number of Personal Bankruptcies (Ontario),m,n,2343,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2011,4,NA,NA
53,1.13,Number of Personal Bankruptcies (Ontario),m,n,2236,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2011,5,NA,NA
54,1.13,Number of Personal Bankruptcies (Ontario),m,n,2260,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2011,6,NA,NA
55,1.13,Number of Personal Bankruptcies (Ontario),m,n,1846,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2011,7,NA,NA
56,1.13,Number of Personal Bankruptcies (Ontario),m,n,2035,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2011,8,NA,NA
57,1.13,Number of Personal Bankruptcies (Ontario),m,n,2176,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2011,9,NA,NA
58,1.13,Number of Personal Bankruptcies (Ontario),m,n,2045,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2011,10,NA,NA
59,1.13,Number of Personal Bankruptcies (Ontario),m,n,2277,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2011,11,NA,NA
60,1.13,Number of Personal Bankruptcies (Ontario),m,n,2083,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2011,12,NA,NA
61,1.13,Number of Personal Bankruptcies (Ontario),m,n,1643,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2012,1,NA,NA
62,1.13,Number of Personal Bankruptcies (Ontario),m,n,1938,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2012,2,NA,NA
63,1.13,Number of Personal Bankruptcies (Ontario),m,n,2078,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2012,3,NA,NA
64,1.13,Number of Personal Bankruptcies (Ontario),m,n,2079,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2012,4,NA,NA
65,1.13,Number of Personal Bankruptcies (Ontario),m,n,2186,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2012,5,NA,NA
66,1.13,Number of Personal Bankruptcies (Ontario),m,n,2010,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2012,6,NA,NA
67,1.13,Number of Personal Bankruptcies (Ontario),m,n,1878,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2012,7,NA,NA
68,1.13,Number of Personal Bankruptcies (Ontario),m,n,1888,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2012,8,NA,NA
69,1.13,Number of Personal Bankruptcies (Ontario),m,n,1840,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2012,9,NA,NA
70,1.13,Number of Personal Bankruptcies (Ontario),m,n,2075,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2012,10,NA,NA
71,1.13,Number of Personal Bankruptcies (Ontario),m,n,1983,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2012,11,NA,NA
72,1.13,Number of Personal Bankruptcies (Ontario),m,n,1638,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2012,12,NA,NA
73,1.13,Number of Personal Bankruptcies (Ontario),m,n,1613,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2013,1,NA,NA
74,1.13,Number of Personal Bankruptcies (Ontario),m,n,1556,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2013,2,NA,NA
75,1.13,Number of Personal Bankruptcies (Ontario),m,n,1885,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2013,3,NA,NA
76,1.13,Number of Personal Bankruptcies (Ontario),m,n,2136,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2013,4,NA,NA
77,1.13,Number of Personal Bankruptcies (Ontario),m,n,2085,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2013,5,NA,NA
78,1.13,Number of Personal Bankruptcies (Ontario),m,n,1803,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2013,6,NA,NA
79,1.13,Number of Personal Bankruptcies (Ontario),m,n,1835,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2013,7,NA,NA
80,1.13,Number of Personal Bankruptcies (Ontario),m,n,1761,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2013,8,NA,NA
81,1.13,Number of Personal Bankruptcies (Ontario),m,n,1727,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2013,9,NA,NA
82,1.13,Number of Personal Bankruptcies (Ontario),m,n,1989,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2013,10,NA,NA
83,1.13,Number of Personal Bankruptcies (Ontario),m,n,1818,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2013,11,NA,NA
84,1.13,Number of Personal Bankruptcies (Ontario),m,n,1565,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2013,12,NA,NA
85,1.13,Number of Personal Bankruptcies (Ontario),m,n,1342,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2014,1,NA,NA
86,1.13,Number of Personal Bankruptcies (Ontario),m,n,1511,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2014,2,NA,NA
87,1.13,Number of Personal Bankruptcies (Ontario),m,n,1797,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2014,3,NA,NA
88,1.13,Number of Personal Bankruptcies (Ontario),m,n,1777,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2014,4,NA,NA
89,1.13,Number of Personal Bankruptcies (Ontario),m,n,1808,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2014,5,NA,NA
90,1.13,Number of Personal Bankruptcies (Ontario),m,n,1532,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2014,6,NA,NA
91,1.13,Number of Personal Bankruptcies (Ontario),m,n,1644,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2014,7,NA,NA
92,1.13,Number of Personal Bankruptcies (Ontario),m,n,1413,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2014,8,NA,NA
93,1.13,Number of Personal Bankruptcies (Ontario),m,n,1636,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2014,9,NA,NA
94,1.13,Number of Personal Bankruptcies (Ontario),m,n,1671,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2014,10,NA,NA
95,1.13,Number of Personal Bankruptcies (Ontario),m,n,1458,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2014,11,NA,NA
96,1.13,Number of Personal Bankruptcies (Ontario),m,n,1645,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2014,12,NA,NA
97,1.13,Number of Personal Bankruptcies (Ontario),m,n,1209,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2015,1,NA,NA
98,1.13,Number of Personal Bankruptcies (Ontario),m,n,1380,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2015,2,NA,NA
99,1.13,Number of Personal Bankruptcies (Ontario),m,n,1726,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2015,3,NA,NA
100,1.13,Number of Personal Bankruptcies (Ontario),m,n,1724,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2015,4,NA,NA
101,1.13,Number of Personal Bankruptcies (Ontario),m,n,1575,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2015,5,NA,NA
102,1.13,Number of Personal Bankruptcies (Ontario),m,n,1590,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2015,6,NA,NA
103,1.13,Number of Personal Bankruptcies (Ontario),m,n,1469,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2015,7,NA,NA
104,1.13,Number of Personal Bankruptcies (Ontario),m,n,1376,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2015,8,NA,NA
105,1.13,Number of Personal Bankruptcies (Ontario),m,n,1515,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2015,9,NA,NA
106,1.13,Number of Personal Bankruptcies (Ontario),m,n,1496,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2015,10,NA,NA
