id,measure_id,measure_name,interval_type,value_type,measure_value,year_to_date_variance,budget_variance,decimal_accuracy,desired_direction,category,data_source_notes,city_perspective_note,year,period_number_in_year,target,note
1703,1.051,Average Actual Hours at Main Job (worked in reference week),m,n,34.47,NA,NA,2,Up,Economy,"Source: Statistics Canada, Labour Force Survey",,2021,2,NA,NA
1704,1.051,Average Actual Hours at Main Job (worked in reference week),m,n,36.17,NA,NA,2,Up,Economy,"Source: Statistics Canada, Labour Force Survey",,2021,3,NA,NA
1705,1.051,Average Actual Hours at Main Job (worked in reference week),m,n,36.16,NA,NA,2,Up,Economy,"Source: Statistics Canada, Labour Force Survey",,2021,4,NA,NA
1706,1.051,Average Actual Hours at Main Job (worked in reference week),m,n,36.75,NA,NA,2,Up,Economy,"Source: Statistics Canada, Labour Force Survey",,2021,5,NA,NA
1707,1.051,Average Actual Hours at Main Job (worked in reference week),m,n,36.63,NA,NA,2,Up,Economy,"Source: Statistics Canada, Labour Force Survey",,2021,6,NA,NA
1708,1.051,Average Actual Hours at Main Job (worked in reference week),m,n,35.88,NA,NA,2,Up,Economy,"Source: Statistics Canada, Labour Force Survey",,2021,7,NA,NA
1709,1.051,Average Actual Hours at Main Job (worked in reference week),m,n,35.8,NA,NA,2,Up,Economy,"Source: Statistics Canada, Labour Force Survey",,2021,8,NA,NA
1710,1.051,Average Actual Hours at Main Job (worked in reference week),m,n,36.29,NA,NA,2,Up,Economy,"Source: Statistics Canada, Labour Force Survey",,2021,9,NA,NA
1711,1.051,Average Actual Hours at Main Job (worked in reference week),m,n,33.25,NA,NA,2,Up,Economy,"Source: Statistics Canada, Labour Force Survey",,2021,10,NA,NA
1712,1.051,Average Actual Hours at Main Job (worked in reference week),m,n,36.2,NA,NA,2,Up,Economy,"Source: Statistics Canada, Labour Force Survey",,2021,11,NA,NA
1713,1.051,Average Actual Hours at Main Job (worked in reference week),m,n,36.5,NA,NA,2,Up,Economy,"Source: Statistics Canada, Labour Force Survey",,2021,12,NA,NA
1714,1.051,Average Actual Hours at Main Job (worked in reference week),m,n,36.35,NA,NA,2,Up,Economy,"Source: Statistics Canada, Labour Force Survey",,2022,1,NA,NA
1715,1.051,Average Actual Hours at Main Job (worked in reference week),m,n,36.15,NA,NA,2,Up,Economy,"Source: Statistics Canada, Labour Force Survey",,2022,2,NA,NA
1716,1.051,Average Actual Hours at Main Job (worked in reference week),m,n,35.61,NA,NA,2,Up,Economy,"Source: Statistics Canada, Labour Force Survey",,2022,3,NA,NA
1717,1.051,Average Actual Hours at Main Job (worked in reference week),m,n,33.59,NA,NA,2,Up,Economy,"Source: Statistics Canada, Labour Force Survey",,2022,4,NA,NA
1718,1.051,Average Actual Hours at Main Job (worked in reference week),m,n,36.41,NA,NA,2,Up,Economy,"Source: Statistics Canada, Labour Force Survey",,2022,5,NA,NA
1719,1.051,Average Actual Hours at Main Job (worked in reference week),m,n,37.2,NA,NA,2,Up,Economy,"Source: Statistics Canada, Labour Force Survey",,2022,6,NA,NA
1720,1.051,Average Actual Hours at Main Job (worked in reference week),m,n,36.49,NA,NA,2,Up,Economy,"Source: Statistics Canada, Labour Force Survey",,2022,7,NA,NA
1721,1.051,Average Actual Hours at Main Job (worked in reference week),m,n,37.06,NA,NA,2,Up,Economy,"Source: Statistics Canada, Labour Force Survey",,2022,8,NA,NA
1722,1.051,Average Actual Hours at Main Job (worked in reference week),m,n,36.5,NA,NA,2,Up,Economy,"Source: Statistics Canada, Labour Force Survey",,2022,9,NA,NA
1723,1.051,Average Actual Hours at Main Job (worked in reference week),m,n,33.97,NA,NA,2,Up,Economy,"Source: Statistics Canada, Labour Force Survey",,2022,10,NA,NA
1724,1.051,Average Actual Hours at Main Job (worked in reference week),m,n,35.63,NA,NA,2,Up,Economy,"Source: Statistics Canada, Labour Force Survey",,2022,11,NA,NA
1725,1.051,Average Actual Hours at Main Job (worked in reference week),m,n,36.06,NA,NA,2,Up,Economy,"Source: Statistics Canada, Labour Force Survey",,2022,12,NA,NA
1726,1.14,Average Home Price (City of Toronto),m,c,364416,0.03,NA,NA,Up,Economy,Source: Toronto Real Estate Board,Colour scheme is based on the City 's financial perspective that increased house prices reflect an improving economy and increased land transfer tax revenues to City,2009,1,NA,NA
1727,1.14,Average Home Price (City of Toronto),m,c,392919,0.03,NA,NA,Up,Economy,Source: Toronto Real Estate Board,Colour scheme is based on the City 's financial perspective that increased house prices reflect an improving economy and increased land transfer tax revenues to City,2009,2,NA,NA
1728,1.14,Average Home Price (City of Toronto),m,c,387793,0.03,NA,NA,Up,Economy,Source: Toronto Real Estate Board,Colour scheme is based on the City 's financial perspective that increased house prices reflect an improving economy and increased land transfer tax revenues to City,2009,3,NA,NA
1729,1.14,Average Home Price (City of Toronto),m,c,421470,0.03,NA,NA,Up,Economy,Source: Toronto Real Estate Board,Colour scheme is based on the City 's financial perspective that increased house prices reflect an improving economy and increased land transfer tax revenues to City,2009,4,NA,NA
1730,1.14,Average Home Price (City of Toronto),m,c,432478,0.03,NA,NA,Up,Economy,Source: Toronto Real Estate Board,Colour scheme is based on the City 's financial perspective that increased house prices reflect an improving economy and increased land transfer tax revenues to City,2009,5,NA,NA
1731,1.14,Average Home Price (City of Toronto),m,c,441703,0.03,NA,NA,Up,Economy,Source: Toronto Real Estate Board,Colour scheme is based on the City 's financial perspective that increased house prices reflect an improving economy and increased land transfer tax revenues to City,2009,6,NA,NA
1732,1.14,Average Home Price (City of Toronto),m,c,421110,0.03,NA,NA,Up,Economy,Source: Toronto Real Estate Board,Colour scheme is based on the City 's financial perspective that increased house prices reflect an improving economy and increased land transfer tax revenues to City,2009,7,NA,NA
1733,1.14,Average Home Price (City of Toronto),m,c,402246,0.03,NA,NA,Up,Economy,Source: Toronto Real Estate Board,Colour scheme is based on the City 's financial perspective that increased house prices reflect an improving economy and increased land transfer tax revenues to City,2009,8,NA,NA
