id,measure_id,measure_name,interval_type,value_type,measure_value,year_to_date_variance,budget_variance,decimal_accuracy,desired_direction,category,data_source_notes,city_perspective_note,year,period_number_in_year,target,note
8489,2.26,Shelter &amp; Overnight Services Use - Singles (Average Individuals Per Night),q,n,2835,NA,NA,NA,Down,Community Vulnerability,"Source: City of Toronto, Shelter, Support & Housing. For current occupancy data, please visit: https://www.toronto.ca/city-government/data-research-maps/research-reports/housing-and-homelessness-research-and-reports/shelter-census/  ",,2007,2,NA,NA
8490,2.26,Shelter &amp; Overnight Services Use - Singles (Average Individuals Per Night),q,n,2682,NA,NA,NA,Down,Community Vulnerability,"Source: City of Toronto, Shelter, Support & Housing. For current occupancy data, please visit: https://www.toronto.ca/city-government/data-research-maps/research-reports/housing-and-homelessness-research-and-reports/shelter-census/  ",,2007,3,NA,NA
8491,2.26,Shelter &amp; Overnight Services Use - Singles (Average Individuals Per Night),q,n,2765,NA,NA,NA,Down,Community Vulnerability,"Source: City of Toronto, Shelter, Support & Housing. For current occupancy data, please visit: https://www.toronto.ca/city-government/data-research-maps/research-reports/housing-and-homelessness-research-and-reports/shelter-census/  ",,2007,4,NA,NA
8492,2.26,Shelter &amp; Overnight Services Use - Singles (Average Individuals Per Night),q,n,2897,NA,NA,NA,Down,Community Vulnerability,"Source: City of Toronto, Shelter, Support & Housing. For current occupancy data, please visit: https://www.toronto.ca/city-government/data-research-maps/research-reports/housing-and-homelessness-research-and-reports/shelter-census/  ",,2008,1,NA,NA
8493,2.26,Shelter &amp; Overnight Services Use - Singles (Average Individuals Per Night),q,n,2784,NA,NA,NA,Down,Community Vulnerability,"Source: City of Toronto, Shelter, Support & Housing. For current occupancy data, please visit: https://www.toronto.ca/city-government/data-research-maps/research-reports/housing-and-homelessness-research-and-reports/shelter-census/  ",,2008,2,NA,NA
8494,2.26,Shelter &amp; Overnight Services Use - Singles (Average Individuals Per Night),q,n,2704,NA,NA,NA,Down,Community Vulnerability,"Source: City of Toronto, Shelter, Support & Housing. For current occupancy data, please visit: https://www.toronto.ca/city-government/data-research-maps/research-reports/housing-and-homelessness-research-and-reports/shelter-census/  ",,2008,3,NA,NA
8495,2.26,Shelter &amp; Overnight Services Use - Singles (Average Individuals Per Night),q,n,2782,NA,NA,NA,Down,Community Vulnerability,"Source: City of Toronto, Shelter, Support & Housing. For current occupancy data, please visit: https://www.toronto.ca/city-government/data-research-maps/research-reports/housing-and-homelessness-research-and-reports/shelter-census/  ",,2008,4,NA,NA
8496,2.26,Shelter &amp; Overnight Services Use - Singles (Average Individuals Per Night),q,n,2913,NA,NA,NA,Down,Community Vulnerability,"Source: City of Toronto, Shelter, Support & Housing. For current occupancy data, please visit: https://www.toronto.ca/city-government/data-research-maps/research-reports/housing-and-homelessness-research-and-reports/shelter-census/  ",,2009,1,NA,NA
8497,2.26,Shelter &amp; Overnight Services Use - Singles (Average Individuals Per Night),q,n,2805,NA,NA,NA,Down,Community Vulnerability,"Source: City of Toronto, Shelter, Support & Housing. For current occupancy data, please visit: https://www.toronto.ca/city-government/data-research-maps/research-reports/housing-and-homelessness-research-and-reports/shelter-census/  ",,2009,2,NA,NA
8498,2.26,Shelter &amp; Overnight Services Use - Singles (Average Individuals Per Night),q,n,2797,NA,NA,NA,Down,Community Vulnerability,"Source: City of Toronto, Shelter, Support & Housing. For current occupancy data, please visit: https://www.toronto.ca/city-government/data-research-maps/research-reports/housing-and-homelessness-research-and-reports/shelter-census/  ",,2009,3,NA,NA
8499,2.26,Shelter &amp; Overnight Services Use - Singles (Average Individuals Per Night),q,n,2853,NA,NA,NA,Down,Community Vulnerability,"Source: City of Toronto, Shelter, Support & Housing. For current occupancy data, please visit: https://www.toronto.ca/city-government/data-research-maps/research-reports/housing-and-homelessness-research-and-reports/shelter-census/  ",,2009,4,NA,NA
8500,2.26,Shelter &amp; Overnight Services Use - Singles (Average Individuals Per Night),q,n,2908,NA,NA,NA,Down,Community Vulnerability,"Source: City of Toronto, Shelter, Support & Housing. For current occupancy data, please visit: https://www.toronto.ca/city-government/data-research-maps/research-reports/housing-and-homelessness-research-and-reports/shelter-census/  ",,2010,1,NA,NA
8501,2.26,Shelter &amp; Overnight Services Use - Singles (Average Individuals Per Night),q,n,2803,NA,NA,NA,Down,Community Vulnerability,"Source: City of Toronto, Shelter, Support & Housing. For current occupancy data, please visit: https://www.toronto.ca/city-government/data-research-maps/research-reports/housing-and-homelessness-research-and-reports/shelter-census/  ",,2010,2,NA,NA
8502,2.26,Shelter &amp; Overnight Services Use - Singles (Average Individuals Per Night),q,n,2747,NA,NA,NA,Down,Community Vulnerability,"Source: City of Toronto, Shelter, Support & Housing. For current occupancy data, please visit: https://www.toronto.ca/city-government/data-research-maps/research-reports/housing-and-homelessness-research-and-reports/shelter-census/  ",,2010,3,NA,NA
8503,2.26,Shelter &amp; Overnight Services Use - Singles (Average Individuals Per Night),q,n,2829,NA,NA,NA,Down,Community Vulnerability,"Source: City of Toronto, Shelter, Support & Housing. For current occupancy data, please visit: https://www.toronto.ca/city-government/data-research-maps/research-reports/housing-and-homelessness-research-and-reports/shelter-census/  ",,2010,4,NA,NA
8504,2.26,Shelter &amp; Overnight Services Use - Singles (Average Individuals Per Night),q,n,2841,NA,NA,NA,Down,Community Vulnerability,"Source: City of Toronto, Shelter, Support & Housing. For current occupancy data, please visit: https://www.toronto.ca/city-government/data-research-maps/research-reports/housing-and-homelessness-research-and-reports/shelter-census/  ",,2011,1,NA,NA
8505,2.26,Shelter &amp; Overnight Services Use - Singles (Average Individuals Per Night),q,n,2804,NA,NA,NA,Down,Community Vulnerability,"Source: City of Toronto, Shelter, Support & Housing. For current occupancy data, please visit: https://www.toronto.ca/city-government/data-research-maps/research-reports/housing-and-homelessness-research-and-reports/shelter-census/  ",,2011,2,NA,NA
8506,2.26,Shelter &amp; Overnight Services Use - Singles (Average Individuals Per Night),q,n,2810,NA,NA,NA,Down,Community Vulnerability,"Source: City of Toronto, Shelter, Support & Housing. For current occupancy data, please visit: https://www.toronto.ca/city-government/data-research-maps/research-reports/housing-and-homelessness-research-and-reports/shelter-census/  ",,2011,3,NA,NA
8507,2.26,Shelter &amp; Overnight Services Use - Singles (Average Individuals Per Night),q,n,2885,NA,NA,NA,Down,Community Vulnerability,"Source: City of Toronto, Shelter, Support & Housing. For current occupancy data, please visit: https://www.toronto.ca/city-government/data-research-maps/research-reports/housing-and-homelessness-research-and-reports/shelter-census/  ",,2011,4,NA,NA
8508,2.26,Shelter &amp; Overnight Services Use - Singles (Average Individuals Per Night),q,n,2939,NA,NA,NA,Down,Community Vulnerability,"Source: City of Toronto, Shelter, Support & Housing. For current occupancy data, please visit: https://www.toronto.ca/city-government/data-research-maps/research-reports/housing-and-homelessness-research-and-reports/shelter-census/  ",,2012,1,NA,NA
8509,2.26,Shelter &amp; Overnight Services Use - Singles (Average Individuals Per Night),q,n,2904,NA,NA,NA,Down,Community Vulnerability,"Source: City of Toronto, Shelter, Support & Housing. For current occupancy data, please visit: https://www.toronto.ca/city-government/data-research-maps/research-reports/housing-and-homelessness-research-and-reports/shelter-census/  ",,2012,2,NA,NA
8510,2.26,Shelter &amp; Overnight Services Use - Singles (Average Individuals Per Night),q,n,2902,NA,NA,NA,Down,Community Vulnerability,"Source: City of Toronto, Shelter, Support & Housing. For current occupancy data, please visit: https://www.toronto.ca/city-government/data-research-maps/research-reports/housing-and-homelessness-research-and-reports/shelter-census/  ",,2012,3,NA,NA
8511,2.26,Shelter &amp; Overnight Services Use - Singles (Average Individuals Per Night),q,n,2921,NA,NA,NA,Down,Community Vulnerability,"Source: City of Toronto, Shelter, Support & Housing. For current occupancy data, please visit: https://www.toronto.ca/city-government/data-research-maps/research-reports/housing-and-homelessness-research-and-reports/shelter-census/  ",,2012,4,NA,NA
8512,2.26,Shelter &amp; Overnight Services Use - Singles (Average Individuals Per Night),q,n,2929,NA,NA,NA,Down,Community Vulnerability,"Source: City of Toronto, Shelter, Support & Housing. For current occupancy data, please visit: https://www.toronto.ca/city-government/data-research-maps/research-reports/housing-and-homelessness-research-and-reports/shelter-census/  ",,2013,1,NA,NA
